gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Cd300e,-1.74624898,-0.57890569,-2.157402473,-1.72597562,0.84002106,0.865590855,1.145245569,1.67487163,1.682803649
Calhm6,-0.948908972,-1.102518073,-1.392283011,-1.895416936,-0.0100284,1.121492494,1.008718746,1.461619558,1.757324594
Tcf19,-0.893702346,-0.58507104,-1.29528452,-0.732763027,0.961690033,0.737319162,0.945025944,0.312286569,0.550499226
Htr7,-0.553110789,-1.712872907,-2.0674335,-1.509913046,0.879923957,1.097929957,1.079770923,1.565704963,1.220000442
Cfb,-0.358685129,-0.470557124,-0.379823429,-0.551237092,0.118752926,0.373336492,0.351505388,0.4290645,0.487643469
Ndc80,-0.723815153,-0.663377225,-1.217644179,-0.667364316,0.942118205,0.831048526,0.798416883,0.533912844,0.166704415
Gm20547,-0.354060068,-0.478140438,-0.379816762,-0.549514161,0.118447598,0.373176031,0.347085694,0.435889763,0.486932344
Ly86,-0.469388808,-0.353204916,-0.45332262,-0.243299626,0.343067978,0.36547871,0.369731593,0.190503649,0.25043404
Brca1,-0.702611007,-0.641734561,-1.18176384,-0.390409161,0.507533094,0.70028341,0.782003937,0.563696176,0.363001951
Pole,-0.71586152,-0.549248753,-1.267996463,-0.426262822,0.607265528,0.763694747,0.630580008,0.437248385,0.520580891
Tgtp2,-0.952255457,-0.369370521,-0.588823009,-0.84274354,0.228533117,0.576962146,0.499737352,0.620474844,0.827485067
Siglece,-0.530535874,-0.59086973,-0.998080229,-0.670777038,0.176575925,0.631124684,0.496849646,0.665529412,0.820183204
Parp9,-0.311541475,-0.371909064,-0.196314297,-0.380252228,0.224305848,0.235397306,0.250231929,0.280739793,0.269342189
Kif11,-0.978950463,-0.821857155,-1.473500382,-0.369024483,0.947555078,0.852512779,0.902476983,0.517820777,0.422966865
Traip,-0.763724269,-0.806391053,-1.033775238,-0.484127867,0.587970833,0.777461917,0.753852042,0.255124394,0.713609242
Gpr31b,-1.509699952,-1.073909698,-0.967289522,-2.093671099,0.215802047,1.06166875,1.401296253,1.476106412,1.489696809
Kif4,-0.64061167,-0.876338827,-1.531913198,-0.509207926,0.8470919,0.830659833,0.96011933,0.477845173,0.442355384
Uhrf1,-0.641691307,-0.559944143,-1.415700571,-0.86988006,0.908927442,0.880648793,0.998320493,0.355375917,0.343943435
Stat4,-0.74630592,-1.387840962,-0.896853311,-1.462048278,0.198764991,0.800782874,0.696370553,1.303438957,1.493691096
Serpina3f,-1.569001919,-1.586553562,-1.56927977,-0.78847949,-0.397122525,1.358177292,1.228876842,1.811268519,1.512114614
Plaat3,-0.930697623,-0.276161722,-1.01475576,-1.050145218,0.492511221,0.91244511,0.872737878,0.299920408,0.694145706
Gbp4,-1.640628247,-1.116107407,-1.438416042,-1.416841237,-0.249124991,0.876838155,0.741300355,2.036284975,2.206694439
Rcn3,-0.876059587,-1.841857661,-0.507373439,-2.063791257,0.988824855,0.850376895,0.50439069,1.53228869,1.413200815
Rmi2,-1.20186771,-0.448125171,-1.138853811,-0.545209568,0.588712646,0.634883898,0.843162377,0.704787934,0.562509405
P2ry14,-0.610748742,-0.563152935,-0.984299815,-0.460769188,0.56501524,0.720817814,0.772718552,0.365179754,0.19523932
Pola2,-0.340094149,-0.371099278,-0.521793431,-0.524107188,0.40015898,0.46617932,0.379712862,0.135118015,0.375924868
Cit,-0.683605478,-0.945982081,-1.230381234,-0.249719494,0.549705977,0.816385557,0.629939055,0.448855981,0.664801717
Enpp4,-1.066116916,-0.6082919,-0.543930402,-0.517944724,0.398533916,0.709876285,0.868452166,0.488638598,0.270782976
Cbx5,-0.591657537,-0.620207079,-0.861310166,-0.191236338,0.334539569,0.471605123,0.459572573,0.427158093,0.571535761
