gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Chil4,1.300558195,2.353258563,0.698335551,2.920834468,-1.127952883,-1.407510976,-1.313940278,-1.822310777,-1.601271862
Slc36a1,0.423103327,0.32012111,0.556340312,0.667222765,-0.295261884,-0.441114415,-0.3737381,-0.402892365,-0.45378075
Clmn,2.282828203,0.808700534,1.884822657,1.656198014,-1.393137268,-1.737235843,-1.867916349,-0.397806031,-1.236453918
Pgd,0.86267492,0.921316037,0.738959763,0.601653785,-0.407239391,-0.457169572,-0.392062018,-0.944074737,-0.924058788
Dap,0.771080716,0.653706683,0.614678775,0.722195653,-0.339601261,-0.407140276,-0.398394631,-0.690449347,-0.926076312
Cd5l,3.595181011,1.714668144,3.061977777,2.154861024,-2.625072655,-2.425189688,-2.457783798,-0.930079172,-2.088562642
Acap1,1.003422854,1.446478225,0.741709331,1.397922086,-0.667847137,-0.4964543,-0.733363818,-1.187533365,-1.504333876
Dcun1d3,0.343414595,0.4303302,0.556284614,0.549263456,-0.368356634,-0.406209396,-0.42018948,-0.425561276,-0.258976078
Oit3,1.720331068,1.970850365,1.243156135,1.748357962,-0.776868061,-0.769917679,-1.060851164,-2.416406465,-1.658652161
Tspan5,0.567281831,0.532453892,0.70151309,1.057604711,-0.548494076,-0.839431071,-0.551798376,-0.525202352,-0.393927648
Aldoc,0.59332569,0.864983602,0.709907327,0.962860556,-0.490801102,-0.690149709,-0.29044766,-0.674065707,-0.985612996
Pir,0.89446549,1.331853986,1.117032652,0.730686324,-0.526061691,-0.633528688,-0.523439674,-1.152175436,-1.238832963
Cavin3,1.688768155,0.654514806,1.558091941,1.010020993,-0.968185539,-0.47084203,-0.939733148,-1.05761075,-1.475024428
Mmp12,1.029249751,1.08346313,0.799251181,1.775076158,-0.638060367,-0.803458228,-0.774638669,-1.727994887,-0.74288807
Ugt1a2,0.801620163,0.400196898,0.657965642,0.505717499,-0.534138136,-0.681692315,-0.482473268,-0.365568775,-0.301627707
Ugt1a10,0.802107659,0.400684394,0.658298074,0.503349945,-0.53365064,-0.681204819,-0.481985772,-0.366458629,-0.301140211
Ugt1a9,0.802107659,0.400684394,0.658298074,0.503349945,-0.53365064,-0.681204819,-0.481985772,-0.366458629,-0.301140211
